X_AXIS,Y_AXIS,Z_AXIS,BATTERY_VOLTS
0.17,-1.85,2.60,27.60
-0.09,-1.08,2.16,27.60
0.13,2.05,-0.51,27.60
0.17,4.65,-2.18,27.60
-0.43,5.29,-2.81,27.60
0.20,2.82,-1.06,27.60
0.37,-0.28,1.70,27.60
-0.32,-1.45,1.81,27.60
0.00,-1.41,2.01,27.60
0.01,1.27,0.62,27.60
-0.24,4.40,-2.62,27.60
-0.57,5.30,-2.77,27.60
0.04,3.56,-1.06,27.60
0.41,0.37,1.12,27.60
-0.25,-1.51,1.72,27.60
0.15,-1.38,2.43,27.60
0.24,0.44,0.88,27.60
0.15,3.85,-1.89,27.60
-0.06,4.86,-2.88,27.60
-0.32,3.66,-1.83,27.60
-0.24,0.92,-0.30,27.60
0.46,-1.25,2.85,27.60
-0.22,-1.80,2.06,27.60
-0.35,0.66,0.82,27.60
0.27,3.01,-0.69,27.60
-0.12,5.26,-2.94,27.60
0.48,4.56,-2.43,27.60
-0.30,1.76,-0.66,27.60
0.16,-1.00,1.79,27.60
0.18,-2.03,3.05,27.60
-0.55,-0.12,0.92,27.60
0.09,2.95,-1.02,27.60
0.09,4.80,-2.15,27.60
0.71,4.75,-2.45,27.60
-0.41,2.07,-1.09,27.60
0.03,-1.01,1.74,27.60
0.37,-1.85,3.15,27.60
-0.32,-0.55,1.20,27.60
-0.12,2.42,-0.76,27.60
-0.05,4.75,-1.97,27.60
0.13,5.24,-2.38,27.60
0.87,2.51,-0.47,27.60
-0.17,-0.49,1.20,27.60
-0.32,-1.85,2.25,27.60
0.17,-1.40,2.50,27.60
-0.05,1.79,-0.36,27.60
-0.15,4.51,-2.55,27.60
-0.07,5.08,-2.19,27.60
-0.13,3.33,-1.55,27.60
0.17,-0.22,1.28,27.60
-0.02,-1.56,2.45,27.60
-0.16,-1.27,1.77,27.60
0.10,0.94,0.64,27.60
-0.20,4.14,-2.09,27.60
-0.49,5.34,-3.03,27.60
0.09,3.72,-1.49,27.60
0.51,0.38,1.37,27.60
-0.30,-1.44,1.31,27.60
0.01,-1.39,2.27,27.60
0.38,0.21,1.42,27.60
-0.31,3.84,-1.96,27.60
-0.34,4.94,-3.09,27.60
-0.46,3.86,-1.69,27.60
-0.47,1.53,-0.86,27.60
0.36,-1.29,2.45,27.60
0.07,-2.03,2.83,27.60
-0.21,0.32,0.46,27.60
0.39,2.95,-0.70,27.60
-0.56,5.07,-2.73,27.60
0.65,4.71,-2.52,27.60
-0.25,1.94,-0.70,27.60
0.13,-1.09,1.66,27.60
-0.05,-1.95,2.77,27.60
-0.28,-0.45,1.24,27.60
-0.06,2.80,-0.84,27.60
-0.15,4.84,-2.18,27.60
-0.12,5.14,-2.36,27.60
0.81,2.06,-0.16,27.60
-0.10,-0.61,1.37,27.60
-0.07,-1.70,2.32,27.60
0.10,-1.13,2.12,27.60
-0.23,2.00,-0.76,27.60
0.31,4.67,-2.15,27.60
-0.17,5.29,-2.14,27.60
0.77,2.78,-0.83,27.60
-0.21,-0.07,0.78,27.60
-0.15,-1.76,2.26,27.60
0.26,-1.59,2.63,27.60
0.29,1.30,0.01,27.60
-0.02,4.58,-2.43,27.60
0.10,4.90,-2.58,27.60
-0.88,3.48,-2.06,27.60
-0.30,0.20,0.37,27.60
0.45,-1.63,3.22,27.60
-0.40,-1.42,1.81,27.60
0.18,0.97,0.27,27.60
0.35,3.91,-1.36,27.60
0.08,5.05,-3.49,27.60
-1.00,3.69,-2.38,27.60
0.36,0.99,1.00,27.60
0.37,-1.53,2.22,27.60
-0.33,-1.53,1.82,27.60
0.36,0.03,1.52,27.60
0.17,3.45,-1.10,27.60
-0.68,5.24,-3.48,27.60
0.44,4.47,-1.93,27.60
-0.38,1.59,-0.78,27.60
0.39,-0.72,2.06,27.60
0.12,-1.91,2.72,27.60
